scenario,run_id,model,config,trial,outcome,stage,detail,observed_1,observed_2
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",0,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",1,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",2,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",3,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",4,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",5,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",6,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",7,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",8,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",9,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",10,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",11,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",12,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",13,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",14,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",15,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",16,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",17,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",18,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",19,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",20,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",21,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",22,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",23,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",24,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",25,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",26,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",27,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",28,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,RYW,"W=ONE,R=ONE",29,PASS,check,"write via n1, read via n2",1,
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",0,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",1,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",2,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",3,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",4,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",5,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",6,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",7,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",8,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",9,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",10,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",11,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",12,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",13,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",14,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",15,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",16,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",17,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",18,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",19,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",20,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",21,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",22,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",23,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",24,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",25,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",26,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",27,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",28,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MR,"W=ONE,R=ONE",29,PASS,check,"R1 via n1, R2 via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",0,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",1,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",2,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",3,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",4,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",5,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",6,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",7,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",8,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",9,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",10,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",11,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",12,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",13,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",14,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",15,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",16,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",17,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",18,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",19,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",20,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",21,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",22,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",23,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",24,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",25,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",26,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",27,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",28,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,MW,"W=ONE,R=ONE",29,PASS,check,"W1 via n1, W2+observer via n2",1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",0,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",1,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",2,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",3,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",4,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",5,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",6,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",7,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",8,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",9,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",10,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",11,PASS,check,cause via n1; effect+observer via n2,1,1
node-failure,3c439e08d1a7,WFR,"W=ONE,R=ONE",12,PASS,check,cause via n1; effect+observer via n2,1,1
